published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-05-30,205.00,202.00,200.00,200.00,0.00,865.00,173249.00,0
2017-05-31,200.00,205.00,195.00,205.00,0.00,3711.00,737133.00,0
2017-06-01,205.00,205.00,200.00,200.00,0.00,2166.00,435338.00,0
2017-06-04,200.00,198.00,198.00,198.00,0.00,24.00,4752.00,0
2017-06-05,198.00,201.00,199.00,199.00,0.00,2901.00,579551.00,0
2017-06-06,199.00,206.00,201.00,202.00,0.00,3214.00,648908.00,0
2017-06-07,202.00,206.00,200.00,200.00,0.00,3365.00,676035.00,0
2017-06-08,200.00,200.00,197.00,200.00,0.00,2369.00,467200.00,0
2017-06-11,200.00,198.00,193.00,193.00,0.00,1700.00,331600.00,0
2017-06-12,193.00,196.00,195.00,195.00,0.00,970.00,190000.00,0
2017-06-13,195.00,194.00,190.00,190.00,0.00,1228.00,235276.00,0
2017-06-14,190.00,193.00,188.00,190.00,0.00,2685.00,511480.00,0
2017-06-15,190.00,195.00,190.00,195.00,0.00,622.00,118854.00,0
2017-06-18,195.00,195.00,195.00,195.00,0.00,13.00,2535.00,0
2017-06-19,195.00,195.00,193.00,195.00,0.00,896.00,173576.00,0
2017-06-20,195.00,194.00,187.00,190.00,0.00,1238.00,238082.00,0
2017-06-21,190.00,192.00,190.00,190.00,0.00,133.00,25458.00,0
2017-06-22,190.00,192.00,187.00,192.00,0.00,4160.00,786372.00,0
2017-06-25,192.00,190.00,189.00,189.00,0.00,300.00,56800.00,0
2017-06-27,189.00,192.00,186.00,186.00,0.00,1025.00,191100.00,0
2017-06-28,186.00,188.00,187.00,188.00,0.00,2302.00,430561.00,0
2017-07-02,188.00,188.00,186.00,186.00,0.00,101.00,18908.00,0
2017-07-03,186.00,185.00,180.00,182.00,0.00,1868.00,338532.00,0
2017-07-04,182.00,182.00,179.00,179.00,0.00,824.00,147970.00,0
2017-07-05,179.00,182.00,176.00,182.00,0.00,2309.00,411804.00,0
2017-07-06,182.00,185.00,182.00,185.00,0.00,3070.00,563240.00,0
2017-07-09,185.00,188.00,182.00,186.00,0.00,468.00,86970.00,0
2017-07-10,186.00,186.00,183.00,186.00,0.00,2732.00,503040.00,0
